Volume,Text No.,Text Title,Match with T Text? (1=yes 0=no 2 = ref),Quote in LS,Ch. in T Text,Quote in T Text,P. No. in T Text,UID
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_sna tshogs rig pa'i rtsal yin phyir:_rig pa stong pa nyid du grol:_dbang dang rgyal po ji bzhin no:_zhes pa'o,3,sna tshogs rig pa'i rtsal yin phyir/_/rig pa stong pa nyid du grol/_/dbang ldan rgyal po ji bzhin no/_,6,23546
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_ngo bo nyid la rgyun par gnas,3,/ngo bo nyid la rgyud mar gnas/_,6,74107
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_mthong thos bcangs pas sangs rgyas 'grub,48,mthong thos bcangs pas sangs rgyas 'grub/_/,153,44154
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_snod dang mi ldan gdams pa spel:_rdo rje'i dmyal bar lhung bar 'gyur,3,snod dang mi ldan gdams pa spel/_/rdo rje'i dmyal bar ltung bar 'gyur/,7,14164
5,4,btags grol rgyud drug gi ti ka,1,,50,snod dang mi ldan gdams pa spel/_/rdo rje'i dmyal bar ltung bar 'gyur,155,79123
5,4,btags grol rgyud drug gi ti ka,1,de yang klong gsal las: nyag gcig 'khor 'das kun gyi gzhi:_rang byung ye shes rang las byung :_de shes ye shes tsam du brjod:_ces so:,4,nyag gcig 'khor 'das kun gyi gzhi/_/rang byung ye shes rang las byung /_/de shes ye shes rtsal du brjod/_/y,7,79787
5,4,btags grol rgyud drug gi ti ka,1,,51,yag gcig 'khor 'das _rgyu kun gyi gzhi/_/rang byung ye shes rang las byung /_/de shes ye shes rtsal yin te/_/,156,32894
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_chos rnams ma lus thams cad kun:_rtsa ba thig le gcig las gyes:_zhes so:,53,chos rnams ma lus thams cad kyang /_/rtsa ba thig le gcig la gyes/_,161,26659
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_theg pa'i chos rnams ngo bor rdzogs:_ngo bo chos rnams kun gyi don:_de med tshig sogs don med 'gyur:_zhes so:,4,thig le'i chos rnams ngo bor rdzogs/_/ngo lta _bo chos rnams kun gyi don/_/de med tshig sogs don med 'gyur/_/,8,28421
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_ma 'gags ye shes chen po nyid: rang gsal phyogs Ris 'dzin ba bral:_zhes so:,4,ma 'gag ye shes chen po nyid/_/rang gsal phyogs ris 'dzin pa grol/_/de las ma yengs rol par spyod/_/kun 'char spyod kyang mi chags so//,8,45478
5,4,btags grol rgyud drug gi ti ka,1,:_klong gsal las: stong gsal yid gnyis sgom dang bral:_sgom pa kun gyi mchog yin no:_zhes so:,4,stong gsal yid gnyis b+haiM dang bral/_/b+haiM pa kun gyi mchog yin no/_/,8,26617
5,4,btags grol rgyud drug gi ti ka,1,rgyud las:_rang rig rtogs pa dbang gi mchog:_zhu dang bskur ba'i thabs las 'das:_zhes so:,4,rang rig rtogs pas dbang don mchog_/zhu dang bskur ba'i mtha' las 'das/_/,8,85868
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_snying po'i rgyud 'dir su phrad pa:_rdzogs sangs rgya bar the tshom med:_ces so:,60,snying po'i rgyud 'dir su 'phrad pa/_/rdzogs sangs rgyas par the tshom med/_,173,37708
5,4,sras gcig sa bon rgyud kyi ti ka gsal byed nor bu’i phreng ba,1,klong gsal las:_de lta bu'i ye shes de ngo rang thog tu sprad pas:_gang shar sbrul mdud bzhin du grol:_ces so:_,5,de lta bu'i ye shes te/_/ngo bo rang thog don 'phrod pas/_/gang shar sprul mdud [13] bzhin du grol/_/,12-13,14065
5,4,sras gcig sa bon rgyud kyi ti ka gsal byed nor bu’i phreng ba,1,klong gsal las:_kun 'byung srid rtsa rtogs pas grol:_ces so:,5,_/kun 'byung srid rtsa rtogs pas grol/,13,50007
5,4,sras gcig sa bon rgyud kyi ti ka gsal byed nor bu’i phreng ba,1,klong gsal las:_rig pa rtogs tshe 'dzin pa grol:_ces so:,5,rig pa rtogs tshe 'dzin pa grol/,13,31399
5,4,’bras bu yongs rdzogs rgyud kyi ti ka gsal byed dri med snying po,1,klong gsal las:_snying nang yab yum zhi ba'i tshul:dung khang khro bo'i tshul du gnas:_zhes so:_,18,snying nang yab yum zhi ba'i tshul/_/dung khang khro bo'i tshul du gnas/_,67,92655
5,7,btags grol don khrid,1,klong gsal las:_gdams pa sbyor dngos rjes gsum mo:_zhes so:,61,gdams pa sbyor dngos rjes 'jug gsum//,175,31972
5,7,btags grol don khrid,1,klong gsal las:_spyi bo mgrin pa snying kha dang :_lte ba gsang ba rkang mthil duH:_a pre tri su nr-i du drug:_gnas so zhes pas ,8,spyi bo mgrin pa snying kha dang /_/lte ba gsang ba rkang mthil du/_/a tri nr-i su pre du drug,23,94310
5,7,btags grol don khrid,1,klong gsal las:_nyan thos zhi ba'i lta stangs kyis:_lus ngag yid gsum rnal du pheb:_ces so:,63,nyan thos zhi ba'i lta stangs kyis/_/lus ngag yid gsum rnal du phab/_/,179,65342
5,7,btags grol don khrid,1,klong gsal las:_tsak+Shu zim bus sUr+yaRa blta:[ · ]shar gyi rgyu skar bzhin du gsal:_zhes pas:,8,tsak+Shus zim bus suR+yar lta/_/shar gyi rgya skar bzhin du gsal/_/,23,50222
5,7,btags grol don khrid,1,:_klong gsal las:_rkyen bral gsum la gsal bar 'gyur:_zhes pas:,101,rkyen bral gsum la 'char bar 'gyur/,257,63124
5,7,btags grol don khrid,1,klong gsal las:_rang rig lug rgyud 'di bzhin gsal:_zhes pa dang :,8,rang rig lug rgyud 'di bzhin gsal/_/r,25,75306
5,7,btags grol don khrid,1,klong gsal las:_gsal stong 'gag med lu gu rgyud:_gsal bde snang rig stong pa nyid:_dbyeRa med gsal ba ma 'dres gnas:_zhes paH:,63,gsal bde snang rig stong pa nyid/_/dbyer med gsal ba ma 'dres gnas/,179,72387
5,7,btags grol don khrid,1,klong gsal las:_rig gnad lug rgyud btson du bzung :_dngos snang dal ba nyid kyi brten:_zhes pa'o:,8,rig gnad lugs rgyud btson du bzung /_/mngon sum brdal ba nyid kyi rten/,25,21659
