Volume,Text No.,Text Title,Match with T Text? (1=yes 0=no 2 = ref),Quote in LS,Ch. in T Text,Quote in T Text,P. No. in T Text,UID
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_sna tshogs rig pa'i rtsal yin phyir:_rig pa stong pa nyid du grol:_dbang dang rgyal po ji bzhin no:_zhes pa'o,3,sna tshogs rig pa'i rtsal yin phyir/_/rig pa stong pa nyid du grol/_/dbang ldan rgyal po ji bzhin no/_,6,67563
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_ngo bo nyid la rgyun par gnas,3,/ngo bo nyid la rgyud mar gnas/_,6,11273
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_mthong thos bcangs pas sangs rgyas 'grub,48,mthong thos bcangs pas sangs rgyas 'grub/_/,153,97341
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_snod dang mi ldan gdams pa spel:_rdo rje'i dmyal bar lhung bar 'gyur,3,rang rig lug rgyud 'di bzhin gsal/_/,7,65363
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_snod dang mi ldan gdams pa spel:_rdo rje'i dmyal bar lhung bar 'gyur,50,snod dang mi ldan gdams pa spel/_/rdo rje'i dmyal bar ltung bar 'gyur,155,45192
5,4,btags grol rgyud drug gi ti ka,1,de yang klong gsal las: nyag gcig 'khor 'das kun gyi gzhi:_rang byung ye shes rang las byung :_de shes ye shes tsam du brjod:_ces so:,4,nyag gcig 'khor 'das kun gyi gzhi/_/rang byung ye shes rang las byung /_/de shes ye shes rtsal du brjod/_/y,7,32956
5,4,btags grol rgyud drug gi ti ka,1,de yang klong gsal las: nyag gcig 'khor 'das kun gyi gzhi:_rang byung ye shes rang las byung :_de shes ye shes tsam du brjod:_ces so:,51,yag gcig 'khor 'das _rgyu kun gyi gzhi/_/rang byung ye shes rang las byung /_/de shes ye shes rtsal yin te/_/,156,57239
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_chos rnams ma lus thams cad kun:_rtsa ba thig le gcig las gyes:_zhes so:,53,chos rnams ma lus thams cad kyang /_/rtsa ba thig le gcig la gyes/_,161,80434
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_theg pa'i chos rnams ngo bor rdzogs:_ngo bo chos rnams kun gyi don:_de med tshig sogs don med 'gyur:_zhes so:,4,thig le'i chos rnams ngo bor rdzogs/_/ngo lta _bo chos rnams kun gyi don/_/de med tshig sogs don med 'gyur/_/,8,15236
5,4,btags grol rgyud drug gi ti ka,1,klong gsal las:_ma 'gags ye shes chen po nyid: rang gsal phyogs Ris 'dzin ba bral:_zhes so:,4,ma 'gag ye shes chen po nyid/_/rang gsal phyogs ris 'dzin pa grol/_/de las ma yengs rol par spyod/_/kun 'char spyod kyang mi chags so//,8,86823
